dataset,method,runtime_seconds,gpu_peak_memory_gb
simulation,CANDIES,355.0051877,2.437581539
E18,CANDIES,632.9858418,1.972368717
E15,CANDIES,469.5022564,1.105485916
mouse_embryo_RNA+ATAC,CANDIES,699.5180085,1.377375603
mouse_embryo_Mux_seq,CANDIES,588.6192353,1.273442745
simulation,COSMOS,21.34046793,1.010836124
mouse_embryo_Mux_seq,COSMOS,27.98965573,1.799312592
mouse_embryo_RNA+ATAC,COSMOS,39.30767536,2.826458931
E15,COSMOS,173.2390051,4.372534275
E18,COSMOS,668.0547669,4.188695908
human_skin,COSMOS,30.55677056,1.210638046
human_skin,CANDIES,388.5008557,0.860028267
E15,MultiVI,462.167927,2.505340099
E18,MultiVI,296.7601016,2.207993031
human_skin,MultiVI,119.0893581,0.321054935
mouse_embryo_Mux_seq,MultiVI,174.6775591,0.739923
mouse_embryo_RNA+ATAC,MultiVI,202.1003351,1.266954422
simulation,MultiVI,85.3242774,0.029299259
E15,PRESENT,48.2550683,1.079974651
E18,PRESENT,49.65145946,0.918757915
human_skin,PRESENT,33.59128046,0.413676739
simulation,PRESENT,16.02304697,0.144575119
mouse_embryo_RNA+ATAC,PRESENT,30.8407414,0.686295509
mouse_embryo_Mux_seq,PRESENT,164.200644,1.947419643
E15,SpatialGlue,6.532039642,0.14233761
E18,SpatialGlue,5.606305838,0.185727692
human_skin,SpatialGlue,5.524742126,0.100695133
mouse_embryo_Mux_seq,SpatialGlue,6.087637663,0.161635208
mouse_embryo_RNA+ATAC,SpatialGlue,5.835781097,0.186765289
simulation,SpatialGlue,5.389652252,0.179298496
human_skin,totalVI,41.95510387,0.42599678
simulation,totalVI,24.87094188,0.472364426
